,0
A2M,1
AARS,1
AASDH,1
ABCA9,1
ABCB1,1
ABCC1,1
ABCC4,1
ABCC8,1
ABHD10,1
ABL1,1
ABTB1,1
ACAN,1
ACE,1
ACOT12,1
ACP6,1
ACSL6,1
ACSM2B,1
ACVR1B,1
ACVR2A,1
ADAM11,1
ADAM18,1
ADAM2,1
ADAM29,1
ADAMTS12,1
ADAMTS14,1
ADAMTS16,1
ADAMTS19,1
ADAMTS2,1
ADAMTS20,1
ADAMTS8,1
ADAMTS9,1
ADAMTSL3,1
ADCY8,1
ADCY9,1
ADGB,1
ADGRB1,1
ADGRB3,1
ADGRE1,1
ADGRL2,1
ADGRV1,1
ADO,1
ADPRHL2,1
AEBP1,1
AFF2,1
AFF4,1
AGAP3,1
AGAP7P,1
AGBL1,1
AGL,1
AGT,1
AHNAK,1
AHNAK2,1
AK7,1
AK9,1
AKAP6,1
AKNAD1,1
AKR1C2,1
ALB,1
ALK,1
ALMS1,1
ALOX12B,1
ALPK2,1
ALPK3,1
ALPPL2,1
AMBN,1
AMD1,1
AMDHD1,1
AMER1,1
ANAPC1,1
ANK3,1
ANKMY1,1
ANKRD11,1
ANKRD12,1
ANKRD30A,1
ANKRD30B,1
ANKRD55,1
ANO4,1
ANP32E,1
AP3S1,1
AP5Z1,1
APAF1,1
APOB,1
ARFGEF2,1
ARHGAP26,1
ARHGAP35,1
ARHGAP5,1
ARHGEF2,1
ARID1A,1
ARL6,1
ARMC4,1
ASAP1,1
ASH1L,1
ASPSCR1,1
ASTN1,1
ASXL1,1
ASZ1,1
ATAD2,1
ATM,1
ATN1,1
ATP10A,1
ATP10B,1
ATP2A1,1
ATP2B3,1
ATP2C2,1
ATP4A,1
ATP8B2,1
ATP8B3,1
ATR,1
ATRX,1
AXDND1,1
AXIN1,1
AXL,1
B3GNT6,1
BAZ1B,1
BCAN,1
BCL11A,1
BCL11B,1
BCL6,1
BCLAF1,1
BCORL1,1
BCR,1
BDP1,1
BHMT,1
BIRC6,1
BMPER,1
BMX,1
BOD1L1,1
BPTF,1
BRAF,1
BRD7,1
BRD8,1
BRINP1,1
BRINP2,1
BSN,1
BTBD11,1
C10ORF12,1
C10ORF90,1
C11ORF53,1
C17ORF97,1
C1ORF106,1
C1QB,1
C2ORF81,1
C4BPA,1
C5,1
C6,1
C6ORF10,1
C6ORF222,1
CABLES1,1
CACNA1F,1
CACNA1G,1
CACNA1H,1
CACNA1S,1
CAD,1
CADM1,1
CADPS,1
CAMSAP3,1
CARD11,1
CASC5,1
CASP5,1
CASP8,1
CASZ1,1
CBFB,1
CCDC102A,1
CCDC110,1
CCDC129,1
CCDC178,1
CCKBR,1
CCND1,1
CCNL1,1
CD163L1,1
CD1B,1
CD1D,1
CD209,1
CDH1,1
CDH10,1
CDH23,1
CDH8,1
CDH9,1
CDHR2,1
CDKN1A,1
CDR1,1
CEACAM7,1
CEBPA,1
CELA3A,1
CELSR3,1
CEMIP,1
CEP164,1
CFAP44,1
CFAP47,1
CHAT,1
CHD1,1
CHD3,1
CHD4,1
CHD5,1
CHD8,1
CHL1,1
CHRNA4,1
CHST5,1
CIC,1
CIT,1
CLCA4,1
CLCN2,1
CLCNKA,1
CLCNKB,1
CLDN8,1
CLTC,1
CLTCL1,1
CLUH,1
CNGA3,1
CNTLN,1
CNTN6,1
CNTNAP2,1
CNTNAP4,1
COL3A1,1
COL5A3,1
COL6A3,1
COL6A6,1
COL7A1,1
COLEC12,1
CORO1B,1
CPT1A,1
CR1,1
CRB1,1
CREBBP,1
CRIPAK,1
CROCC,1
CRX,1
CRYBA2,1
CSF2RA,1
CSF2RB,1
CSMD1,1
CSMD2,1
CTAG2,1
CTCF,1
CTNNA1,1
CTNNA2,1
CTNNA3,1
CTNNB1,1
CTNND2,1
CUBN,1
CUL9,1
CUX1,1
CYLC1,1
CYP11A1,1
CYP11B1,1
CYP2A6,1
DBR1,1
DCAF12L1,1
DCAF12L2,1
DCAF13,1
DCAF8L1,1
DCHS1,1
DCHS2,1
DCLK1,1
DDC,1
DDX10,1
DENND4B,1
DHX30,1
DHX37,1
DIAPH3,1
DICER1,1
DKC1,1
DLC1,1
DLGAP2,1
DLL4,1
DMBT1,1
DMD,1
DNAH12,1
DNAH3,1
DNAH5,1
DNAH9,1
DNASE2,1
DNMT1,1
DNMT3A,1
DOCK1,1
DOCK11,1
DOCK2,1
DOCK7,1
DOK2,1
DOT1L,1
DPH2,1
DPP10,1
DPYD,1
DSG2,1
DST,1
DTD2,1
DYNC1I1,1
DYSF,1
E2F4,1
E2F8,1
ECI2,1
