,0
A2M,1
AARS,1
AASDH,1
ABCA12,1
ABCA13,1
ABCB1,1
ABCC1,1
ABCC4,1
ABCC8,1
ABHD10,1
ABL1,1
ABTB1,1
ACAN,1
ACE,1
ACOT12,1
ACP6,1
ACSL6,1
ACSM2B,1
ACVR2A,1
ADAM11,1
ADAM18,1
ADAM29,1
ADAMTS12,1
ADAMTS14,1
ADAMTS19,1
ADAMTS2,1
ADAMTS20,1
ADAMTS8,1
ADAMTS9,1
ADAMTSL3,1
ADCK5,1
ADCY8,1
ADCY9,1
ADGB,1
ADGRB3,1
ADGRE1,1
ADGRG4,1
ADGRL2,1
ADGRL3,1
ADGRL4,1
ADGRV1,1
ADO,1
ADPRHL2,1
AFF4,1
AGAP1,1
AGAP3,1
AGAP7P,1
AGBL1,1
AGL,1
AGT,1
AHCTF1,1
AHNAK2,1
AIM1,1
AK7,1
AK9,1
AKAP6,1
AKAP9,1
AKNAD1,1
AKR1C2,1
ALB,1
ALK,1
ALMS1,1
ALOX12B,1
ALPK2,1
ALPK3,1
ALPPL2,1
AMBN,1
AMD1,1
AMDHD1,1
AMER1,1
ANAPC1,1
ANK2,1
ANK3,1
ANKMY1,1
ANKRD11,1
ANKRD30A,1
ANKRD30B,1
ANKRD36,1
ANKRD36C,1
ANKRD55,1
ANO4,1
ANO8,1
ANP32E,1
ANXA13,1
AP3S1,1
AP5Z1,1
APAF1,1
APBB1,1
APOB,1
AR,1
ARAP3,1
ARFGEF2,1
ARHGAP26,1
ARHGAP35,1
ARHGAP5,1
ARHGEF2,1
ARID1B,1
ARID2,1
ARL6,1
ARMC4,1
ASAP1,1
ASH1L,1
ASPM,1
ASPSCR1,1
ASTN2,1
ASXL1,1
ASZ1,1
ATAD2,1
ATN1,1
ATP10A,1
ATP10B,1
ATP13A5,1
ATP2A1,1
ATP2B3,1
ATP2C2,1
ATP4A,1
ATP8B2,1
ATP8B3,1
ATR,1
ATXN1,1
AXL,1
B3GNT6,1
B4GALNT2,1
BAZ1B,1
BCAN,1
BCL11A,1
BCL11B,1
BCL6,1
BCLAF1,1
BCR,1
BDP1,1
BHMT,1
BIRC6,1
BMPER,1
BMX,1
BOD1L1,1
BPTF,1
BRAF,1
BRCA2,1
BRD7,1
BRD8,1
BRINP1,1
BRINP2,1
BRINP3,1
BSN,1
BTBD11,1
C10ORF12,1
C10ORF90,1
C11ORF53,1
C17ORF97,1
C1ORF106,1
C1QB,1
C2ORF16,1
C2ORF81,1
C3,1
C4BPA,1
C5,1
C6,1
C6ORF10,1
CABLES1,1
CACHD1,1
CACNA1A,1
CACNA1B,1
CACNA1D,1
CACNA1F,1
CACNA1G,1
CACNA1H,1
CACNA1S,1
CACNA2D1,1
CAD,1
CADM1,1
CADPS,1
CAMSAP3,1
CARD11,1
CASC5,1
CASP5,1
CASP8,1
CBFB,1
CCDC102A,1
CCDC110,1
CCDC129,1
CCDC178,1
CCER1,1
CCKBR,1
CCND1,1
CCNL1,1
CD163,1
CD163L1,1
CD1B,1
CD209,1
CDC27,1
CDH1,1
CDH10,1
CDH23,1
CDH7,1
CDH8,1
CDH9,1
CDHR2,1
CDHR5,1
CDKN1A,1
CDKN2A,1
CDR1,1
CEACAM7,1
CEBPA,1
CELA3A,1
CELSR1,1
CEMIP,1
CENPF,1
CEP131,1
CEP152,1
CEP164,1
CEP192,1
CFAP44,1
CHAT,1
CHD1,1
CHD2,1
CHD3,1
CHD4,1
CHD5,1
CHD8,1
CHEK2,1
CHL1,1
CIC,1
CIT,1
CLCA4,1
CLCN2,1
CLCNKA,1
CLCNKB,1
CLDN8,1
CLTC,1
CLTCL1,1
CLUH,1
CMYA5,1
CNGA2,1
CNGA3,1
CNOT1,1
CNTLN,1
CNTN3,1
CNTN5,1
CNTNAP2,1
CNTNAP4,1
COL12A1,1
COL14A1,1
COL3A1,1
COL4A2,1
COL5A1,1
COL5A3,1
COL6A3,1
COLEC12,1
CORO1B,1
CPT1A,1
CR1,1
CRB1,1
CRIPAK,1
CROCC,1
CRX,1
CRYBA2,1
CSF2RA,1
CSF2RB,1
CSMD2,1
CSPG4,1
CTNNA1,1
CTNNA2,1
CTNNA3,1
CTTNBP2,1
CUBN,1
CUL9,1
CYLC1,1
CYP11A1,1
CYP11B1,1
CYP2A6,1
CYSLTR2,1
DAPK1,1
DBR1,1
DCAF12L1,1
DCAF13,1
DCAF8L1,1
DCHS1,1
DCHS2,1
DCLK1,1
DDC,1
DDX10,1
DENND4B,1
DHX30,1
DIAPH3,1
DICER1,1
DIDO1,1
DKC1,1
DLC1,1
DLGAP2,1
